,original,edited
0,"With Town Hall Script Flipped On GOP, Will History Repeat Itself?",There is nothing is string - anyway it is going to be ignored
1,"As His Mother’s Multiple Sclerosis Progresses, A Son Shifts To Caregiver ",There is nothing is string - anyway it is going to be ignored
2,Rep. Steve King warns that ‘our civilization’ can’t be restored with ‘somebody else’s babies’,There is nothing is string - anyway it is going to be ignored
3,Dropbox Is Said to Be Planning to Go Public This Year - The New York Times,There is nothing is string - anyway it is going to be ignored
4,Why Fewer Americans Outearn Their Parents,There is nothing is string - anyway it is going to be ignored
5,An Exodus From Puerto Rico Could Remake Florida Politics - The New York Times,There is nothing is string - anyway it is going to be ignored
6,Trump Congratulates Macron On ‘Big’ Win In French Presidential Election,There is nothing is string - anyway it is going to be ignored
7,"A Remote Pacific Nation, Threatened by Rising Seas - The New York Times",There is nothing is string - anyway it is going to be ignored
8,Wall Street just had its worst ever first week to start a year,There is nothing is string - anyway it is going to be ignored
9,"Sleep ’resets’ brain connections crucial for memory and learning, study reveals",There is nothing is string - anyway it is going to be ignored
10,Hospital lets dying veteran’s horses kiss him goodbye,There is nothing is string - anyway it is going to be ignored
11,Depressing new photos show Europe’s Mars probe exploded into pieces,There is nothing is string - anyway it is going to be ignored
12,This social network is a particularly miserable place,There is nothing is string - anyway it is going to be ignored
13,"VIDEO: When Humans Got Cozy, Germs Got Deadly",There is nothing is string - anyway it is going to be ignored
14,U.S. Bank Cited by Federal Authorities for Lapses on Money Laundering - The New York Times,There is nothing is string - anyway it is going to be ignored
15,Donald Trump is giving us a master class in why #WomenDontReport,There is nothing is string - anyway it is going to be ignored
16,Donald Trump has every reason to keep white people thinking about race,There is nothing is string - anyway it is going to be ignored
17,"In Major Abortion Case, Justice Kennedy Offers Few Clues On How He Is Leaning",There is nothing is string - anyway it is going to be ignored
18, Meet The Maserati-Driving Deadhead Lawyer Who Stands Between Hackers And Prison,There is nothing is string - anyway it is going to be ignored
19, Trump’s Deals In Turkey Align Him With Powerful Partners,There is nothing is string - anyway it is going to be ignored
20,Even Trump’s Supporters Are Wary of ’Rigged’ Rhetoric,There is nothing is string - anyway it is going to be ignored
21,Liverpool v Manchester City: a game that threatens to live up to the hype,There is nothing is string - anyway it is going to be ignored
22,Review: Ice Cube and Charlie Day Face Off in ‘Fist Fight’ - The New York Times,There is nothing is string - anyway it is going to be ignored
23,Opinion | President Bannon? - The New York Times,There is nothing is string - anyway it is going to be ignored
24,"Trump, citing no evidence, accuses Obama of ‘Nixon/Watergate’ plot to wiretap Trump Tower",There is nothing is string - anyway it is going to be ignored
25,Buffett calls Clayton Homes unit 'best-in-class' despite critics,There is nothing is string - anyway it is going to be ignored
26,How a Curator Attributed This Drawing to Michelangelo - The New York Times,There is nothing is string - anyway it is going to be ignored
27,Religious Trumpians Suffer from Stockholm Syndrome,There is nothing is string - anyway it is going to be ignored
28,CBS News/YouGov Utah Poll: Trump Leads by 17 Points - Breitbart,There is nothing is string - anyway it is going to be ignored
29,Meet the all-star team of lawyers Robert Mueller has assembled for the Trump-Russia investigation,There is nothing is string - anyway it is going to be ignored
30,GOPer: Comey Testimony Shows There’s No Obstruction Case Against Trump,There is nothing is string - anyway it is going to be ignored
31, Federal Judge Blocks Obama Administration Protections For Transgender People,There is nothing is string - anyway it is going to be ignored
32,Exclusive: Mitel and Polycom in merger talks amid pressure from Elliott - sources,There is nothing is string - anyway it is going to be ignored
33,Report: Hillary Clinton Spent ’Tens of Millions of Dollars’ on Failed Digital Youth Outreach Campaign - Breitbart,There is nothing is string - anyway it is going to be ignored
34,Whispers in Rio: Is a female runner gaining an unfair edge from naturally high testosterone?,There is nothing is string - anyway it is going to be ignored
